src_ip,dst_ip,protocol,src_port,dst_port,timestamp,length,ttl,flags
203.78.137.8,204.51.46.66,OTHER,,,1641013200.090676,99,253,
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.090725,40,118,16
89.247.69.191,163.45.185.232,TCP,53456,11348,1641013200.090774,40,246,2
192.0.222.29,203.78.252.11,TCP,54198,443,1641013200.090777,40,248,2
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.090916,52,57,16
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.090974,40,118,16
89.247.66.138,133.105.251.23,TCP,8080,5138,1641013200.09108,40,246,2
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091121,208,56,
92.72.196.229,133.105.84.49,TCP,49119,3010,1641013200.091122,40,243,2
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.091232,40,118,16
89.247.69.140,133.105.106.109,TCP,59190,61004,1641013200.091253,40,246,2
133.243.115.197,162.141.163.128,TCP,55438,443,1641013200.091316,64,56,2
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.091361,40,118,16
157.206.108.29,91.228.162.21,TCP,49953,8883,1641013200.091361,71,120,24
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091418,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.09142,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091421,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091425,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091426,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091427,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091428,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091429,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091433,1344,56,
89.247.69.191,163.45.173.62,TCP,53456,4,1641013200.091433,40,246,2
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091434,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091435,1344,56,
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091436,1344,56,
89.247.69.180,163.45.50.232,TCP,53467,8682,1641013200.091438,40,246,2
133.227.136.19,119.67.223.152,UDP,4500,56540,1641013200.091448,1344,56,
198.56.151.101,202.250.235.189,TCP,58225,443,1641013200.091463,40,248,2
89.247.69.180,163.45.51.235,TCP,53467,8682,1641013200.091496,40,246,2
133.251.126.20,212.80.219.242,TCP,5900,50992,1641013200.091556,52,61,24
130.187.3.72,23.2.228.136,UDP,3702,80,1641013200.091562,591,58,
89.247.69.134,163.45.14.67,TCP,58749,10022,1641013200.091584,40,246,2
163.45.253.255,44.192.213.191,TCP,51569,443,1641013200.0916,52,58,16
202.250.230.254,198.56.151.101,ICMP,,,1641013200.091636,56,253,
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.091637,52,57,16
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.091701,40,118,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.091795,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.091827,1440,62,16
203.78.137.8,204.51.46.66,OTHER,,,1641013200.091837,117,253,
133.227.58.122,3.198.45.21,ICMP,,,1641013200.091921,56,248,
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.091965,40,118,16
185.145.15.199,133.105.248.233,TCP,26200,4482,1641013200.092004,44,117,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.09205,1440,62,16
89.247.69.140,133.251.78.75,TCP,36657,61004,1641013200.092067,40,246,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.092067,1440,62,16
133.243.48.81,220.187.241.103,TCP,62578,80,1641013200.092072,52,120,2
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.092072,52,57,16
157.206.223.156,75.81.199.170,TCP,80,51242,1641013200.092078,40,56,16
192.126.171.77,203.78.142.57,TCP,443,59888,1641013200.09213,40,56,16
204.51.46.66,203.78.137.8,OTHER,,,1641013200.092131,64,250,
163.45.255.200,109.41.41.125,UDP,56292,50002,1641013200.092145,1237,58,
68.183.176.238,163.45.47.134,TCP,52659,2814,1641013200.092148,40,246,2
163.45.255.200,109.41.41.125,UDP,56292,50002,1641013200.092154,1237,58,
163.45.255.200,109.41.41.125,UDP,56292,50002,1641013200.092155,1237,58,
167.246.129.120,133.105.77.201,TCP,52983,8435,1641013200.092181,44,43,2
198.158.98.248,133.251.123.48,TCP,41038,80,1641013200.0922,44,245,2
163.45.40.210,54.79.175.17,TCP,61107,443,1641013200.092228,95,122,24
206.204.252.190,203.78.137.8,OTHER,,,1641013200.092243,84,246,
163.45.40.210,18.78.17.112,TCP,58125,443,1641013200.092262,95,122,24
157.206.236.86,164.173.4.181,TCP,22,60704,1641013200.092262,52,56,16
89.247.66.138,133.105.188.55,TCP,8080,5138,1641013200.092263,40,246,2
89.247.69.149,203.78.230.246,TCP,53470,59460,1641013200.092281,40,246,2
89.247.69.145,133.251.82.153,TCP,53450,40133,1641013200.092294,40,246,2
89.247.69.146,203.78.211.250,TCP,8080,46099,1641013200.092311,40,246,2
162.113.225.124,133.251.137.221,TCP,48446,5998,1641013200.092535,44,40,2
89.247.69.180,163.45.202.21,TCP,53467,16143,1641013200.092566,40,246,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.092589,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.092594,1440,62,16
167.46.181.111,133.105.234.0,TCP,65396,12409,1641013200.092654,44,41,2
203.78.137.8,206.204.252.190,OTHER,,,1641013200.09266,76,253,
92.72.196.229,133.105.84.42,TCP,49119,3010,1641013200.092708,40,243,2
112.169.168.185,133.251.75.104,ICMP,,,1641013200.092714,56,250,
94.232.18.20,133.105.18.163,TCP,45043,11468,1641013200.092723,40,244,2
58.169.124.155,203.78.212.179,TCP,37811,23,1641013200.092729,40,57,2
203.78.137.8,206.204.252.190,OTHER,,,1641013200.092759,309,253,
157.206.21.55,44.240.20.246,TCP,10073,443,1641013200.092797,83,57,24
167.246.129.104,163.45.220.113,TCP,35872,18028,1641013200.092804,44,43,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.092852,2840,62,16
185.194.205.188,163.45.95.135,TCP,45985,5984,1641013200.092861,40,244,2
163.45.183.162,157.136.132.242,TCP,443,36864,1641013200.092877,40,53,16
163.45.183.162,157.136.132.242,TCP,443,36864,1641013200.092917,71,53,24
163.45.97.166,35.213.245.215,TCP,58154,443,1641013200.092953,40,122,16
133.227.102.209,87.246.121.194,TCP,25,45136,1641013200.092954,52,56,16
163.45.129.204,13.235.39.247,UDP,40148,53,1641013200.092959,66,249,
163.45.255.200,109.41.41.125,UDP,56292,50002,1641013200.092969,1237,58,
163.45.183.162,157.136.132.242,TCP,443,36864,1641013200.093042,40,53,17
203.78.143.78,38.23.75.129,ICMP,,,1641013200.093043,44,8,
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093058,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093084,1440,62,16
133.227.102.209,87.246.121.194,TCP,25,45136,1641013200.093085,67,56,24
49.145.95.254,203.78.135.1,TCP,44566,23,1641013200.093089,40,56,2
133.227.102.209,87.246.121.194,TCP,25,45136,1641013200.093142,52,56,17
167.46.181.124,133.105.215.9,TCP,27268,5009,1641013200.093146,44,41,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093324,2840,62,16
167.246.129.104,133.251.80.210,TCP,64749,12533,1641013200.09354,44,43,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093585,1440,62,16
167.46.173.237,203.78.225.54,TCP,41244,37752,1641013200.093597,44,39,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093641,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093646,1440,62,16
2.77.121.24,163.45.85.183,TCP,51074,5038,1641013200.093647,40,241,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.093667,1440,62,16
203.78.139.131,13.235.56.33,TCP,49301,80,1641013200.093677,40,125,16
89.247.69.146,163.45.150.13,TCP,8080,55831,1641013200.093716,40,246,2
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.0938,52,57,16
167.46.173.232,202.101.170.94,TCP,29947,9583,1641013200.093809,44,39,2
133.243.100.20,156.101.206.106,UDP,53,10044,1641013200.093842,142,54,
133.243.90.12,199.24.205.227,UDP,52931,9350,1641013200.093958,121,241,
92.72.196.229,133.105.38.99,TCP,49119,3048,1641013200.094004,40,243,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.094028,2840,62,16
46.27.231.36,202.250.234.69,TCP,53102,3664,1641013200.094052,40,244,2
157.206.229.0,192.120.200.155,TCP,58678,443,1641013200.094084,52,54,16
110.71.87.27,203.78.135.92,TCP,14862,443,1641013200.094143,40,118,16
167.46.181.98,203.78.161.172,TCP,10714,12554,1641013200.094198,44,41,2
133.227.135.133,162.110.186.255,UDP,53,23953,1641013200.094199,146,248,
157.206.196.212,52.59.33.227,TCP,41463,443,1641013200.094278,40,57,16
143.38.18.9,202.101.172.92,TCP,54415,443,1641013200.094283,40,247,2
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.094302,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14862,1641013200.094305,1440,62,16
13.235.56.33,203.78.139.131,TCP,80,49301,1641013200.094345,1368,121,16
157.206.78.152,162.141.136.227,TCP,61634,443,1641013200.094362,40,120,16
204.51.46.66,203.78.137.8,OTHER,,,1641013200.094363,782,250,
157.206.21.55,44.240.20.246,TCP,10073,443,1641013200.094364,52,57,17
13.235.56.33,203.78.139.131,TCP,80,49301,1641013200.094364,1368,121,16
202.250.230.253,46.27.231.36,ICMP,,,1641013200.094365,56,252,
13.235.56.33,203.78.139.131,TCP,80,49301,1641013200.094373,1368,121,16
13.235.56.33,203.78.139.131,TCP,80,49301,1641013200.094389,1368,121,16
13.235.56.33,203.78.139.131,TCP,80,49301,1641013200.094396,1368,121,16
128.12.70.14,203.78.137.8,OTHER,,,1641013200.094413,362,251,
13.235.56.33,203.78.139.131,TCP,80,49301,1641013200.094413,1368,121,16
167.246.129.119,163.45.222.111,TCP,13164,9085,1641013200.094414,44,43,2
66.15.63.118,202.101.173.241,TCP,50808,8009,1641013200.094451,40,54,17
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.094461,52,57,16
89.247.69.180,163.45.84.114,TCP,53467,13343,1641013200.094467,40,246,2
157.206.40.185,175.25.44.190,TCP,8085,55862,1641013200.094483,40,56,20
133.243.90.12,199.24.205.227,UDP,58511,9350,1641013200.094575,121,241,
133.243.90.12,199.24.205.227,UDP,48945,9350,1641013200.094577,122,241,
162.111.184.151,163.45.114.178,TCP,443,24114,1641013200.0946,73,59,24
89.247.69.140,202.250.247.32,TCP,36023,61004,1641013200.0946,40,246,2
133.243.90.12,64.83.56.245,UDP,42717,9350,1641013200.094601,121,241,
133.243.90.12,64.83.56.245,UDP,42718,9350,1641013200.094602,121,241,
1.29.92.175,203.78.172.238,OTHER,,,1641013200.094634,564,57,
133.243.90.12,64.83.56.245,UDP,42719,9350,1641013200.094638,122,241,
110.71.87.27,203.78.135.92,TCP,14908,443,1641013200.094644,40,118,16
133.227.58.122,167.46.174.238,ICMP,,,1641013200.094678,56,248,
110.71.87.27,203.78.135.92,TCP,14908,443,1641013200.094772,40,118,16
133.243.205.209,23.29.124.41,TCP,25,65432,1641013200.094839,48,57,18
89.247.69.146,163.45.5.19,TCP,8080,55157,1641013200.094878,40,246,2
46.27.231.36,202.250.251.105,TCP,53102,3664,1641013200.094924,40,244,2
